"Нужен для демо 2022-04-27","ID примитива","Имя примитива","Класс CIM из IEC61970-301","Картинка","Примечание","Контейнер?","Номер в СТО 56947007-
29.240.10.035-2009","Название в СТО 56947007-
29.240.10.035-2009","Определение в ГОСТ Р 58651",,
1,0,"Выключатель включен","Breaker",,,,"1 а","Выключатель","Выключатель",,
2,1,"Выключатель отключен","Breaker",,,,"1 б","Выключатель","Выключатель",,
,2,"Выключатель нагрузки включен","LoadBreakSwitch",,,,"2 а","Выключатель нагрузки","Выключатель нагрузки",,
,3,"Выключатель нагрузки отключен","LoadBreakSwitch",,,,"2 б","Выключатель нагрузки","Выключатель нагрузки",,
,4,"Разъединитель включен","Disconnector",,,,"3 а","Разъединитель","Разъединитель",,
,5,"Разъединитель отключен","Disconnector",,,,"3 б","Разъединитель","Разъединитель",,
,6,"Заземляющий нож включен","GroundSwitch",,,,"4 а","Заземляющий нож","Короткозамыкатель",,
,7,"Заземляющий нож отключен","GroundSwitch",,,,"4 б","Заземляющий нож","Короткозамыкатель",,
,8,"Короткозамыкатель включен","GroundSwitch",,,,5,"Короткозамыкатель","Короткозамыкатель",,
,9,"Короткозамыкатель отключен","GroundSwitch",,,,5,"Короткозамыкатель","Короткозамыкатель",,
,10,"Отделитель включен","GroundDisconnector",,,,"6 а","Отделитель",,,
,11,"Отделитель отключен",,,,,"6 б","Отделитель",,,
,12,"Автоматический выключатель включен","Breaker",,,,"7 а","Автоматический выключатель","Выключатель",,
,13,"Автоматический выключатель отключен","Breaker",,,,"7 б","Автоматический выключатель","Выключатель",,
12,14,"Тележка выключателя КРУ в рабочем положении, выключатель включен.",,,,,"8 а","Тележка выключателя КРУ",,,
13,15,"Тележка выключателя КРУ в рабочем положении, выключатель отключен.",,,,,"8 б","Тележка выключателя КРУ",,,
,16,"Тележка выключателя КРУ в ремонтном положении, выключатель отключен.",,,,,"8 в","Тележка выключателя КРУ",,,
,17,"Тележка выключателя КРУ в контрольном положении, выключатель отключен.",,,,,"8 г","Тележка выключателя КРУ",,,
14,18,"Тележка разъединителя КРУ в рабочем положении",,,,,"9а","Тележка разъединителя КРУ",,,
,19,"Тележка разъединителя КРУ в ремонтном положении",,,,,"9б","Тележка разъединителя КРУ",,,
,20,"Тележка разъединителя КРУ в контрольном положении",,,,,"9в","Тележка разъединителя КРУ",,,
,21,"Автотрансформатор 3-х обмоточный с РПН","PowerTransformer",,"Картинка со стрелкой.",,10,"Автотрансформатор 3-х обмоточный","Силовой трансформатор",,
,22,"Автотрансформатор 3-х обмоточный","PowerTransformer",,,,10,"Автотрансформатор 3-х обмоточный","Силовой трансформатор",,
15,23,"Трансформатор силовой 2-х обмоточный с РПН","PowerTransformer",,"Картинка со стрелкой.",,11,"Трансформатор силовой 2-х обмоточный","Силовой трансформатор",,
7,24,"Трансформатор силовой 2-х обмоточный","PowerTransformer",,,,11,"Трансформатор силовой 2-х обмоточный","Силовой трансформатор",,
16,25,"Трансформатор силовой 3-х обмоточный с РПН","PowerTransformer",,"Картинка со стрелкой.",,12,"Трансформатор силовой 3-х обмоточный","Силовой трансформатор",,
8,26,"Трансформатор силовой 3-х обмоточный","PowerTransformer",,,,12,"Трансформатор силовой 3-х обмоточный","Силовой трансформатор",,
,27,"Дугогасящие реакторы","PetersenCoil",,,,13,"Дугогасящие реакторы","Дугогасящая катушка Петерсена",,
,28,"Дугогасящие реакторы с возможностью плавного регулирования","PetersenCoil",,"Правая картинка.",,13,"Дугогасящие реакторы","Дугогасящая катушка Петерсена",,
17,29,"Трансформатор напряжения 2-х обмоточный","PotentialTransformer",,,,14,"Трансформатор напряжения 2-х обмоточный",,,
18,30,"Трансформатор напряжения 3-х обмоточный","PotentialTransformer",,,,14,"Трансформатор напряжения 3-х обмоточный",,,
,31,"Высокочастотный заградитель линии электропередачи","WaveTrap",,,,15,"Высокочастотный заградитель линии электропередачи","ВЧ заградитель",,
,32,"Фильтр присоединения",,,,,16,"Фильтр присоединения",,,
,33,"Конденсатор",,,,,17,"Конденсатор",,,
19,34,"Ограничитель перенапряжений","SurgeArrester",,,,18,"Ограничитель перенапряжений","Ограничитель перенапряжения",,
,35,"Разрядник",,,,,19,"Разрядник",,,
20,36,"Предохранитель с плавкой вставкой","Fuse",,,,20,"Предохранитель 6 – 35 кВ","Предохранитель с плавкой вставкой",,
,37,"Токоограничивающий реактор одинарный",,,,,21,"Токоограничивающий реактор",,,
,38,"Токоограничивающий реактор сдвоенный",,,"Правая картинка.",,21,"Токоограничивающий реактор",,,
,39,"Реактор шунтирующий",,,,,22,"Реактор шунтирующий",,,
,40,"Реактор шунтирующий с возможностью регулирования",,,"Правая картинка.",,22,"Реактор шунтирующий",,,
,41,"Синхронный компенсатор",,,,,23,"Синхронный компенсатор",,,
21,42,"Трансформатор тока","CurrentTransformer",,"Примитив нужно изобразить как 3*2 элемента на 3 линиях.",,24,"Трансформатор тока","Трансформатор тока",,"разные варианты примитивов"
