iconname,w,h,compname,ws,hs
subprocess-expanded.svg,2048,2048,subprocess-expanded,100,100
end-event-signal.svg,2048,2048,end-event-signal,100,100
receive.svg,2000,2000,receive,98,98
start-event-error.svg,2048,2048,start-event-error,100,100
manual-task.svg,2000,2000,manual-task,98,98
start-event-none.svg,2048,2048,start-event-none,100,100
service-task.svg,2000,2000,service-task,98,98
group.svg,2048,2048,group,100,100
start-event-non-interrupting-escalation.svg,2048,2048,start-event-non-interrupting-escalation,100,100
intermediate-event-catch-cancel.svg,2048,2048,intermediate-event-catch-cancel,100,100
data-output.svg,2000,2000,data-output,98,98
intermediate-event-throw-message.svg,2048,2048,intermediate-event-throw-message,100,100
end-event-message.svg,2048,2048,end-event-message,100,100
task.svg,2048,2048,task,100,100
intermediate-event-none.svg,2048,2048,intermediate-event-none,100,100
script-task.svg,2000,2000,script-task,98,98
gateway-or.svg,2048,2048,gateway-or,100,100
intermediate-event-catch-timer.svg,2048,2048,intermediate-event-catch-timer,100,100
gateway-complex.svg,2048,2048,gateway-complex,100,100
intermediate-event-catch-non-interrupting-timer.svg,2048,2048,intermediate-event-catch-non-interrupting-timer,100,100
end-event-none.svg,2048,2048,end-event-none,100,100
start-event-escalation.svg,2048,2048,start-event-escalation,100,100
intermediate-event-catch-error.svg,2048,2048,intermediate-event-catch-error,100,100
start-event-condition.svg,2048,2048,start-event-condition,100,100
intermediate-event-catch-non-interrupting-parallel-multiple.svg,2048,2048,intermediate-event-catch-non-interrupting-parallel-multiple,100,100
intermediate-event-catch-condition.svg,2048,2048,intermediate-event-catch-condition,100,100
intermediate-event-catch-non-interrupting-message.svg,2048,2048,intermediate-event-catch-non-interrupting-message,100,100
intermediate-event-catch-signal.svg,2048,2048,intermediate-event-catch-signal,100,100
intermediate-event-throw-escalation.svg,2048,2048,intermediate-event-throw-escalation,100,100
start-event-non-interrupting-condition.svg,2048,2048,start-event-non-interrupting-condition,100,100
start-event-timer.svg,2048,2048,start-event-timer,100,100
start-event-non-interrupting-signal.svg,2048,2048,start-event-non-interrupting-signal,100,100
end-event-terminate.svg,2048,2048,end-event-terminate,100,100
intermediate-event-catch-compensation.svg,2048,2048,intermediate-event-catch-compensation,100,100
start-event-parallel-multiple.svg,2048,2048,start-event-parallel-multiple,100,100
intermediate-event-catch-link.svg,2048,2048,intermediate-event-catch-link,100,100
start-event-non-interrupting-parallel-multiple.svg,2048,2048,start-event-non-interrupting-parallel-multiple,100,100
intermediate-event-catch-message.svg,2048,2048,intermediate-event-catch-message,100,100
intermediate-event-catch-non-interrupting-condition.svg,2048,2048,intermediate-event-catch-non-interrupting-condition,100,100
end-event-compensation.svg,2048,2048,end-event-compensation,100,100
send.svg,2000,2000,send,98,98
intermediate-event-throw-escalation (1).svg,2048,2048,intermediate-event-throw-escalation (1),100,100
intermediate-event-catch-non-interrupting-multiple.svg,2048,2048,intermediate-event-catch-non-interrupting-multiple,100,100
start-event-non-interrupting-timer.svg,2048,2048,start-event-non-interrupting-timer,100,100
transaction.svg,2048,2048,transaction,100,100
gateway-none.svg,2048,2048,gateway-none,100,100
business-rule-task.svg,2000,2000,business-rule-task,98,98
intermediate-event-throw-signal.svg,2048,2048,intermediate-event-throw-signal,100,100
gateway-eventbased.svg,2048,2048,gateway-eventbased,100,100
event-subprocess-expanded.svg,2048,2048,event-subprocess-expanded,100,100
text-annotation.svg,2048,2048,text-annotation,100,100
intermediate-event-catch-non-interrupting-signal.svg,2048,2048,intermediate-event-catch-non-interrupting-signal,100,100
start-event-message.svg,2048,2048,start-event-message,100,100
end-event-multiple.svg,2048,2048,end-event-multiple,100,100
gateway-xor.svg,2048,2048,gateway-xor,100,100
business-rule.svg,2000,2000,business-rule,98,98
intermediate-event-throw-compensation.svg,2048,2048,intermediate-event-throw-compensation,100,100
start-event-non-interrupting-multiple.svg,2048,2048,start-event-non-interrupting-multiple,100,100
start-event-non-interrupting-message.svg,2048,2048,start-event-non-interrupting-message,100,100
gateway-parallel.svg,2048,2048,gateway-parallel,100,100
intermediate-event-catch-escalation.svg,2048,2048,intermediate-event-catch-escalation,100,100
data-input.svg,2000,2000,data-input,98,98
end-event-error.svg,2048,2048,end-event-error,100,100
end-event-escalation.svg,2048,2048,end-event-escalation,100,100
end-event-cancel.svg,2048,2048,end-event-cancel,100,100
intermediate-event-throw-link.svg,2048,2048,intermediate-event-throw-link,100,100
intermediate-event-throw-multiple.svg,2048,2048,intermediate-event-throw-multiple,100,100
intermediate-event-catch-parallel-multiple.svg,2048,2048,intermediate-event-catch-parallel-multiple,100,100
end-event-link.svg,2048,2048,end-event-link,100,100
start-event-signal.svg,2048,2048,start-event-signal,100,100
start-event-compensation.svg,2048,2048,start-event-compensation,100,100
user-task.svg,2000,2000,user-task,98,98
intermediate-event-catch-non-interrupting-escalation.svg,2048,2048,intermediate-event-catch-non-interrupting-escalation,100,100
subprocess-collapsed.svg,2048,2048,subprocess-collapsed,100,100
receive-task.svg,2000,2000,receive-task,98,98
send-task.svg,2000,2000,send-task,98,98
data-store.svg,2000,2000,data-store,98,98
start-event-multiple.svg,2048,2048,start-event-multiple,100,100
data-object.svg,2000,2000,data-object,98,98
intermediate-event-catch-multiple.svg,2048,2048,intermediate-event-catch-multiple,100,100
