class name,parent class name,brief,detail
IdentifiedObject,,Идентифицирующий класс - обеспечивает идентификацию и набор наименований для наследуемых классов,
PowerSystemResource,IdentifiedObject,Обобщенный объект энергосистемы,
ACDCTerminal,IdentifiedObject,Полюс постоянного и переменного тока,
ConnectivityNodeContainer,PowerSystemResource,Контейнер соединительных узлов,
EquipmentContainer,ConnectivityNodeContainer,Контейнер оборудования,
Equipment,PowerSystemResource,Оборудование,
PrimeMover,PowerSystemResource,Первичный двигатель,
SteamSupply,PowerSystemResource,Котел,
FossilSteamSupply,SteamSupply,Котел на ископаемом топливе,
ConductingEquipment,Equipment,Электропроводящее оборудование,
AuxiliaryEquipment,Equipment,Вспомогательное оборудование,
Sensor,AuxiliaryEquipment,Измерительное устройство,
GeneratingUnit,Equipment,Энергоблок,
RegulatingCondEq,ConductingEquipment,Регулирующее электропроводящее оборудование,
Conductor,ConductingEquipment,Проводник,
Connector,ConductingEquipment,Соединительный проводник,
Switch,ConductingEquipment,Коммутационный аппарат,
ProtectedSwitch,Switch,Защищающий коммутационный аппарат,
RotatingMachine,RegulatingCondEq,Вращающаяся машина,
TransformerEnd,IdentifiedObject,Электрический вывод трансформатора,
TapChanger,PowerSystemResource,Переключатель регулировочных ответвлений трансформатора,
PhaseTapChanger,TapChanger,Фазосдвигающий переключатель регулировочных ответвлений обмотки трансформатора,
PhaseTapChangerNonLinear,PhaseTapChanger,Нелинейный фазосдвигающий переключатель регулировочных ответвлений обмотки трансформатора,
ShuntCompensator,RegulatingCondEq,Шунтирующее компенсирующее устройство,
Assetlnfo,IdentifiedObject,Базовый класс описания технических параметров оборудования различного вида,
AssetOrganisationRole,OrganisationRole,Базовый класс для обозначения ролей организаций в отношении материальных объектов,
Curve,IdentifiedObject,Многофункциональная кривая,
CurveData,,Данные многофункциональной кривой,
EnvironmentalDependentLimit,LimitDependency,Зависимость эксплуатационных ограничений/пределов от параметров окружающей среды,
LimitDependency,IdentifiedObject,Базовый класс зависимостей эксплуатационных ограничений/пределов,
OperationalLimit,IdentifiedObject,Базовый класс для эксплуатационных ограничений/пределов,
PerLengthLineParameter,IdentifiedObject,Базовый класс для удельных параметров участка ЛЭП,
PerLengthImpedance,PerLengthLineParameter,Базовый класс для удельных сопротивлений участка ЛЭП,
Structure,AssetContainer,"Базовый класс описания конструкции ЛЭП, распределительного устройства, опор ЛЭП",
TransformerTest,IdentifiedObject,Базовый класс для результатов испытания обмоток трансформатора,
