class name,parent class name,brief,detail
Name,,Типизированное дополнительное наименование,
NameType,,Тип наименования,
BaseVoltage,IdentifiedObject,Стандартное номинальное напряжение,
GeographicalRegion,IdentifiedObject,Федеральный округ Российской Федерации,
SubGeographicalRegion,IdentifiedObject,Административно-территориальная единица,
PSRType,IdentifiedObject,Тип объекта энергосистемы,
Terminal,ACDCTerminal,Полюс электропроводящего оборудования,Элемент модели для обозначения электрического подключения к электропроводящему оборудованию.
ConnectivityNode,IdentifiedObject,Соединительный узел,
Organisation,IdentifiedObject,Организация,
OrganisationRole,IdentifiedObject,Типизированная роль организации по отношению к другим объектам информационной модели,
Plant,EquipmentContainer,Электростанция,
Line,EquipmentContainer,ЛЭП,
HydroPowerPlant,PowerSystemResource,Гидроэлектростанция,
Substation,EquipmentContainer,Подстанция,
VoltageLevel,EquipmentContainer,Распределительное устройство,
Bay,EquipmentContainer,Группа коммутационного оборудования,"Класс, предназначенный для группировки коммутационного оборудования, обычно обозначающий коммутационную ячейку."
WaveTrap,AuxiliaryEquipment,ВЧ заградитель,
CurrentTransformer,Sensor,Трансформатор тока,
PotentialTransformer,Sensor,Трансформатор напряжения,
SurgeArrester,AuxiliaryEquipment,Ограничитель перенапряжения,
ACLineSegment,Conductor,Участок (сегмент) линии переменного тока,
BusbarSection,Connector,Секция шин,
SynchronousMachine,RotatingMachine,Синхронная машина,
AsynchronousMachine,RotatingMachine,Асинхронная машина,
Breaker,ProtectedSwitch,Выключатель,
LoadBreakSwitch,ProtectedSwitch,Выключатель нагрузки,
Disconnector,Switch,Разъединитель,
GroundDisconnector,Switch,Заземляющий разъединитель,
Jumper,Switch,Перемычка,
Fuse,Switch,Предохранитель с плавкой вставкой,
Recloser,ProtectedSwitch,Секционирующий пункт,
PowerTransformer,ConductingEquipment,Силовой трансформатор,
PowerTransformerEnd,TransformerEnd,Электрический вывод силового трансформатора,
SeriesCompensator,ConductingEquipment,Продольное компенсирующее устройство,
NonlinearShuntCompensator,ShuntCompensator,Нелинейное шунтирующее компенсирующее устройство,Секции нелинейного шунтирующего компенсирующего устройства могут иметь неравные проводимости.
LinearShuntCompensator,ShuntCompensator,Линейное шунтирующее компенсирующее устройство,Секции линейного шунтирующего компенсирующего устройства всегда имеют равные проводимости.
StaticVarCompensator,RegulatingCondEq,Регулируемое шунтирующее компенсирующее устройство,"Например, статический тиристорный компенсатор."
RatioTapChanger,TapChanger,Регулятор коэффициента трансформации,
PhaseTapChangerLinear,PhaseTapChanger,Фазоповоротное устройство с линейной зависимостью,
PhaseTapChangerTabular,PhaseTapChanger,Фазосдвигающий переключатель,Фазосдвигающий переключатель регулировочных ответвлений обмотки трансформатора (табличное представление зависимости).
PhaseTapChangerSymmetrical,PhaseTapChangerNonLinear,Фазовращатель симметричный,"Фазовращатель симметричный, осуществляющий продольно-поперечное регулирование при сохранении неизменным модуля коэффициента трансформации."
PhaseTapChangerAsymmetrical,PhaseTapChangerNonLinear,Фазовращатель ассиметричный,"Фазовращатель асимметричный, изменяющий напряжение начального вывода. Фаза изменившегося коэффициента трансформации зависит как от модуля, так и от фазы вольтодобавки (измеренной по отношению к напряжению начального полюса)."
ThermalGeneratingUnit,GeneratingUnit,Тепловой энергоблок,
HydroGeneratingUnit,GeneratingUnit,Гидрогенератор,
NuclearGeneratingUnit,GeneratingUnit,Атомный энергоблок,
WindGeneratingUnit,GeneratingUnit,Ветроэлектрогенератор,
SteamTurbine,PrimeMover,Паровая турбина,
HydroTurbine,PrimeMover,Гидротурбина,
CombustionTurbine,PrimeMover,Газовая турбина,
BWRSteamSupply,SteamSupply,Кипящий водо-водяной реактор,
PWRSteamSupply,SteamSupply,Водо-водяной энергетический ядерный реактор (ВВЭР),
Supercritical,FossilSteamSupply,Котел сверхкритического давления,
Subcritical,FossilSteamSupply,Котел высокого давления,
DrumBoiler,FossilSteamSupply,Барабанный котел,
HeatRecoveryBoiler,FossilSteamSupply,Котел-утилизатор,
