,iconname,w,h,rotate,path,compname,ID примитива,PrimitiveName,Класс CIM из IEC61970-301,"Номер в СТО 56947007-
29.240.10.035-2009","Название в СТО 56947007-
29.240.10.035-2009",Определение в ГОСТ Р 58651
0,Автоматический выключатель отключен_l.svg,91,91,left,primitives_img/Автоматический выключатель отключен_l.svg,Автоматический выключатель отключен,13.0,CircuitBreakerOff,Breaker,7 б,Автоматический выключатель,Выключатель
1,Токоограничивающий реактор сдвоенный_r.svg,89,81,right,primitives_img/Токоограничивающий реактор сдвоенный_r.svg,Токоограничивающий реактор сдвоенный,38.0,CurrentLimitingReactorDouble,ConductingEquipment,21,Токоограничивающий реактор,
2,Ограничитель перенапряжений_r.svg,91,91,right,primitives_img/Ограничитель перенапряжений_r.svg,Ограничитель перенапряжений,34.0,SurgeArrester,SurgeArrester,18,Ограничитель перенапряжений,Ограничитель перенапряжения
4,Двигатель_f.svg,91,76,none,primitives_img/Двигатель_f.svg,Двигатель,81.0,Engine,,,,
5,Автотрансформатор 3-х обмоточный_l.svg,119,91,left,primitives_img/Автотрансформатор 3-х обмоточный_l.svg,Автотрансформатор 3-х обмоточный,22.0,Autotransformer-3Wind,PowerTransformer,10,Автотрансформатор 3-х обмоточный,Силовой трансформатор
6,"Кабельная линия 0,4 кВ_l.svg",91,91,left,"primitives_img/Кабельная линия 0,4 кВ_l.svg","Кабельная линия 0,4 кВ",43.0,CableLine0.4Kv,ACLineSegment,27,Кабельная линия,Участок (сегмент) линии переменного тока
7,Короткозамыкатель отключен_l.svg,91,91,left,primitives_img/Короткозамыкатель отключен_l.svg,Короткозамыкатель отключен,9.0,ShortCircuitOff,GroundSwitch,5,Короткозамыкатель,Короткозамыкатель
8,Трансформатор напряжения 2-х обмоточный_f.svg,91,91,none,primitives_img/Трансформатор напряжения 2-х обмоточный_f.svg,Трансформатор напряжения 2-х обмоточный,29.0,VoltageTransformer-2Wind,PotentialTransformer,14,Трансформатор напряжения 2-х обмоточный,
9,"Кабельная линия 0,4 кВ_r.svg",91,91,right,"primitives_img/Кабельная линия 0,4 кВ_r.svg","Кабельная линия 0,4 кВ",43.0,CableLine0.4Kv,ACLineSegment,27,Кабельная линия,Участок (сегмент) линии переменного тока
10,Предохранитель с плавкой вставкой_r.svg,59,91,right,primitives_img/Предохранитель с плавкой вставкой_r.svg,Предохранитель с плавкой вставкой,36.0,FusedFuse,Fuse,20,Предохранитель 6 – 35 кВ,Предохранитель с плавкой вставкой
11,Отделитель включен_l.svg,91,91,left,primitives_img/Отделитель включен_l.svg,Отделитель включен,10.0,SeparatorOn,GroundDisconnector,6 а,Отделитель,
12,Трансформатор силовой 2-х обмоточный с РПН_r.svg,91,91,right,primitives_img/Трансформатор силовой 2-х обмоточный с РПН_r.svg,Трансформатор силовой 2-х обмоточный с РПН,23.0,PowerTransformer-2Wind-LoadTapChanger,PowerTransformer,11,Трансформатор силовой 2-х обмоточный,Силовой трансформатор
13,Тележка разъединителя КРУ в рабочем положении_r.svg,91,91,right,primitives_img/Тележка разъединителя КРУ в рабочем положении_r.svg,Тележка разъединителя КРУ в рабочем положении,18.0,SwitchGearDisconnectCartAtWorkplace,ProtectedSwitch,9а,Тележка разъединителя КРУ,
14,Разъединитель отключен_f.svg,91,91,none,primitives_img/Разъединитель отключен_f.svg,Разъединитель отключен,5.0,DisconnectOff,Disconnector,3 б,Разъединитель,Разъединитель
15,Тележка выключателя КРУ в ремонтном положении выключатель отключен_l.svg,91,91,left,primitives_img/Тележка выключателя КРУ в ремонтном положении выключатель отключен_l.svg,Тележка выключателя КРУ в ремонтном положении выключатель отключен,16.0,KruSwitchTrolleyRepairOff,ProtectedSwitch,8 в,Тележка выключателя КРУ,
16,Тележка выключателя КРУ в рабочем положении выключатель отключен_f.svg,91,91,none,primitives_img/Тележка выключателя КРУ в рабочем положении выключатель отключен_f.svg,Тележка выключателя КРУ в рабочем положении выключатель отключен,15.0,KruSwitchTrolleyWorkingOff,ProtectedSwitch,8 б,Тележка выключателя КРУ,
17,Синхронный компенсатор_l.svg,49,91,left,primitives_img/Синхронный компенсатор_l.svg,Синхронный компенсатор,41.0,SynchronousCompensator,ConductingEquipment,23,Синхронный компенсатор,
18,Выключатель включен_l.svg,91,91,left,primitives_img/Выключатель включен_l.svg,Выключатель включен,0.0,SwitchOn,Breaker,1 а,Выключатель,Выключатель
19,Отпайка_f.svg,21,21,none,primitives_img/Отпайка_f.svg,Отпайка,73.0,TapConnector,ConnectivityNode,,,Соединенные полюса
20,Дугогасящие реакторы_l.svg,91,91,left,primitives_img/Дугогасящие реакторы_l.svg,Дугогасящие реакторы,27.0,ArcSuppressionReactors,PetersenCoil,13,Дугогасящие реакторы,Дугогасящая катушка Петерсена
21,Автотрансформатор 3-х обмоточный с РПН_f.svg,91,119,none,primitives_img/Автотрансформатор 3-х обмоточный с РПН_f.svg,Автотрансформатор 3-х обмоточный с РПН,21.0,3WindAutotransformerWithTapChanger,PowerTransformer,10,Автотрансформатор 3-х обмоточный,Силовой трансформатор
22,Ограничитель перенапряжений_f.svg,91,91,none,primitives_img/Ограничитель перенапряжений_f.svg,Ограничитель перенапряжений,34.0,SurgeArrester,SurgeArrester,18,Ограничитель перенапряжений,Ограничитель перенапряжения
23,Трансформатор силовой 2-х обмоточный с РПН_f.svg,91,91,none,primitives_img/Трансформатор силовой 2-х обмоточный с РПН_f.svg,Трансформатор силовой 2-х обмоточный с РПН,23.0,PowerTransformer-2Wind-LoadTapChanger,PowerTransformer,11,Трансформатор силовой 2-х обмоточный,Силовой трансформатор
24,Короткозамыкатель включен_f.svg,91,91,none,primitives_img/Короткозамыкатель включен_f.svg,Короткозамыкатель включен,8.0,ShortCircuitOn,GroundSwitch,5,Короткозамыкатель,Короткозамыкатель
25,Автотрансформатор 3-х обмоточный_f.svg,91,119,none,primitives_img/Автотрансформатор 3-х обмоточный_f.svg,Автотрансформатор 3-х обмоточный,22.0,Autotransformer-3Wind,PowerTransformer,10,Автотрансформатор 3-х обмоточный,Силовой трансформатор
26,Токоограничивающий реактор одинарный_f.svg,91,65,none,primitives_img/Токоограничивающий реактор одинарный_f.svg,Токоограничивающий реактор одинарный,37.0,CurrentLimitingReactorSingle,ConductingEquipment,21,Токоограничивающий реактор,
27,Тележка разъединителя КРУ  в контрольном положении_f.svg,91,91,none,primitives_img/Тележка разъединителя КРУ  в контрольном положении_f.svg,Тележка разъединителя КРУ  в контрольном положении,20.0,KruDisconnectorControl,ProtectedSwitch,9в,Тележка разъединителя КРУ,
28,Автоматический выключатель отключен_f.svg,91,91,none,primitives_img/Автоматический выключатель отключен_f.svg,Автоматический выключатель отключен,13.0,CircuitBreakerOff,Breaker,7 б,Автоматический выключатель,Выключатель
29,Выключатель включен_f.svg,91,91,none,primitives_img/Выключатель включен_f.svg,Выключатель включен,0.0,SwitchOn,Breaker,1 а,Выключатель,Выключатель
30,Тележка разъединителя КРУ в ремонтном положении_f.svg,91,91,none,primitives_img/Тележка разъединителя КРУ в ремонтном положении_f.svg,Тележка разъединителя КРУ в ремонтном положении,19.0,KruDisconnectorRepair,ProtectedSwitch,9б,Тележка разъединителя КРУ,
31,Трансформатор тока_f.svg,121,91,none,primitives_img/Трансформатор тока_f.svg,Трансформатор тока,42.0,CurrentTransformer,CurrentTransformer,24,Трансформатор тока,Трансформатор тока
32,Дугогасящие реакторы с возможностью плавного регулирования_r.svg,91,91,right,primitives_img/Дугогасящие реакторы с возможностью плавного регулирования_r.svg,Дугогасящие реакторы с возможностью плавного регулирования,28.0,ArcSuppressionReactors-ModulatingControl,PetersenCoil,13,Дугогасящие реакторы,Дугогасящая катушка Петерсена
