;row_type;node_name_start;node_id_start;node_id_end;node_name_end;X_start;X_end;Y_start;Y_end;startKind;startValue;startT;endKind;endValue;endT;startIsSource;startIsOutlet;endIsSource;endIsOutlet;altitude_start;altitude_end;L;d;s;uphillM;effectiveD;intD;roughness;perforation;pumpDepth;model;frequency;productivity;predict_mode;shtr_debit;K_pump;VolumeWater;choke_diam;Gas_factor_m3_m3;Oildensity_kg_m3;Waterdensity_kg_m3;Formation_pressure_bar
0;pipe;уз. в к4;уз. в к4;к.4;к.4;439955.098206622;440009.875648599;6551657.79159076;6551718.3849489;;;20;;;;0.0;0.0;;False;90.0;;210;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
1;injection_well;к.2;к.2;к.2__скв.47;к.2__скв.47;437900.82;437900.82;6547270.63;6547270.63;;;;Q;3.8229166667000003;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;5;;826;1015;66.7
2;pipe;т.вр. в к16;т.вр. в к16;уз.в к17;уз.в к17;443455.73;443750.3;6554438.65;6555182.86;;;20;;;20;0.0;0.0;0.0;False;76.8;71.0;850;0.219;0.018000000000000002;;0.46;0.219;1e-05;;;;;;;;;;;;826;1015;66.7
3;injection_well;к.38;к.38;к.38__скв.440;к.38__скв.440;439007.41;439007.41;6542717.22;6542717.22;;;;Q;0.42708333330000003;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;4.3333333333;;826;1015;66.7
4;pipe;уз. в к27;уз. в к27;к.27;к.27;444124.969261252;445689.07;6552687.34763735;6551811.93;;;20;;;;0.0;0.0;;False;75.3;;2292;0.114;0.011;;0.46;0.114;1e-05;;;;;;;;;;;;826;1015;66.7
5;injection_well;к.3;к.3;к.3__скв.57;к.3__скв.57;440294.71;440294.71;6548535.3;6548535.3;;;;Q;0.9375;;;0.0;;True;;;;;;;;;1e-05;;;;;;;;;;32;;826;1015;66.7
6;pipe;уз.2 водовод;уз.2 водовод;уз. в к1;уз. в к1;440545.410704217;439822.710824675;6546661.04329544;6546130.66132836;;;20;;;20;0.0;0.0;0.0;False;82.0;84.8;1161;0.273;0.02;;0.46;0.273;1e-05;;;;;;;;;;;;826;1015;66.7
7;pipe;уз.в к23;уз.в к23;к.23б;к.23б;436762.374817286;436781.68;6545527.75246428;6545404.95;;;20;;;;0.0;0.0;;False;70.3;;154;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
8;pipe;т.вр. в к4 в/в;т.вр. в к4 в/в;уз. в к4;уз. в к4;440289.531121388;439955.098206622;6551316.96505435;6551657.79159076;;;20;;;20;0.0;0.0;0.0;False;91.0;90.0;584;0.219;0.018000000000000002;;0.46;0.219;1e-05;;;;;;;;;;;;826;1015;66.7
9;pipe;уз. в к12;уз. в к12;к.12;к.12;437713.23539982;437701.59;6550225.12818923;6550241.15;;;20;;;;0.0;0.0;;False;96.0;;18;0.168;0.016;;0.46;0.168;1e-05;;;;;;;;;;;;826;1015;66.7
