row_type,node_name_start,node_id_start,node_id_end,node_name_end,X_start,X_end,Y_start,Y_end,start_kind,start_value,start_T,end_kind,end_value,end_T,start_is_source,startIsOutlet,end_is_source,endIsOutlet,altitude_start,altitude_end,L,d,s,uphillM,effectiveD,intD,roughness,perforation,pumpDepth,model,frequency,productivity,predict_mode,shtr_debit,K_pump,VolumeWater,choke_diam,p_start,q_start,p_end,q_end,startP,startT,endP,endT,start_Q_m3_day,end_Q_m3_day,res_watercut_percent,res_liquid_density_kg_m3,res_pump_power_watt,X_kg_sec,velocity_m_sec
injection_well,к.2,к.2,к.2__скв.539,к.2__скв.539,437900.82,437900.82,6547270.63,6547270.63,,,,Q,4.13,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,4.13,142.4499739893,20,142.4411443648,20,,,100,1000,,4.13,
injection_well,к.27,к.27,к.27__скв.530,к.27__скв.530,445689.07,445689.07,6551811.93,6551811.93,,,,Q,0.31,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,0.31,203.9200068537,20,203.9199134195,20,,,100,1000,,0.31,
pipe,уз. в к27,уз. в к27,к.27,к.27,444124.969261252,445689.07,6552687.34763735,6551811.93,,,20,,,,false,false,,false,75.3,,2292,0.114,0.011,,0.46,0.114,0.00001,,,,,,,,,,,,,,,211.5817057006,20,203.9200068537,20,,,100,1000,,2.83,0.2772597702
pipe,вр.к.14 в/в,вр.к.14 в/в,к.15,к.15,438149.356444797,435896.613793757,6552632.504655,6552994.16387524,,,20,,,,false,false,,false,82,,2448,0.168,0.016,,0.46,0.168,0.00001,,,,,,,,,,,,,,,196.5976323216,20,196.3542027039,20,,,100,1000,,1.11,0.0500742602
injection_well,к.64,к.64,к.64__скв.3825,к.64__скв.3825,436231.931071926,436231.931071926,6542395.83257822,6542395.83257822,,,,Q,0.01,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,,,,,0.01,186.117583664,20,186.1175823653,20,,,100,1000,,0.01,
injection_well,к.4,к.4,к.4__скв.534,к.4__скв.534,440009.875648599,440009.875648599,6551718.3849489,6551718.3849489,,,,Q,0.82,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,0.82,196.8064766673,20,196.8059628415,20,,,100,1000,,0.82,
injection_well,к.25,к.25,к.25__скв.641,к.25__скв.641,441032.833356061,441032.833356061,6544877.67526717,6544877.67526717,,,,Q,0.82,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,0.82,205.1674977756,20,205.1669839498,20,,,100,1000,,0.82,
injection_well,к.12,к.12,к.12__скв.18,к.12__скв.18,437701.59,437701.59,6550241.15,6550241.15,,,,Q,0.85,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,3,,,,0.85,190.0958389208,20,190.0952916725,20,,,100,1000,,0.85,
injection_well,к.122,к.122,к.122__скв.551,к.122__скв.551,442533.76,442533.76,6547346.62,6547346.62,,,,Q,0.57,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,,,,,0.57,216.7066726986,20,216.7064011019,20,,,100,1000,,0.57,
injection_well,к.27,к.27,к.27__скв.528,к.27__скв.528,445689.07,445689.07,6551811.93,6551811.93,,,,Q,0,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,,,,,0,203.9200068537,20,203.9200068537,20,,,100,1000,,0,
injection_well,к.2,к.2,к.2__скв.69,к.2__скв.69,437900.82,437900.82,6547270.63,6547270.63,,,,Q,3.78,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,7,,,,3.78,142.4499739893,20,142.4424233744,20,,,100,1000,,3.78,
injection_well,к.27,к.27,к.27__скв.654,к.27__скв.654,445689.07,445689.07,6551811.93,6551811.93,,,,Q,0.59,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,8,,,,0.59,203.9200068537,20,203.9197183347,20,,,100,1000,,0.59,
injection_well,к.13,к.13,к.13__скв.447,к.13__скв.447,442206.83,442206.83,6552792.71,6552792.71,,,,Q,3.11,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,12,,,,3.11,210.4919434169,20,210.4865924585,20,,,100,1000,,3.11,
injection_well,к.3,к.3,к.3__скв.35,к.3__скв.35,440294.71,440294.71,6548535.3,6548535.3,,,,Q,0.8,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,0.8,197.9883561618,20,197.9878641117,20,,,100,1000,,0.8,
injection_well,к.15,к.15,к.15__скв.202,к.15__скв.202,435896.613793757,435896.613793757,6552994.16387524,6552994.16387524,,,,Q,0.15,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,7,,,,0.15,196.3542027039,20,196.3541832233,20,,,100,1000,,0.15,
injection_well,к.27,к.27,к.27__скв.651,к.27__скв.651,445689.07,445689.07,6551811.93,6551811.93,,,,Q,0,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,,,,,0,203.9200068537,20,203.9200068537,20,,,100,1000,,0,
injection_well,к.64,к.64,к.64__скв.3828,к.64__скв.3828,436231.931071926,436231.931071926,6542395.83257822,6542395.83257822,,,,Q,3.42,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,3.42,186.117583664,20,186.1112561021,20,,,100,1000,,3.42,
pipe,уз.в к22,уз.в к22,к.122,к.122,442299.403951071,442533.76,6547104.30362492,6547346.62,,,20,,,,false,false,,false,86,,405.4,0.168,0.016,,0.46,0.168,0.00001,,,,,,,,,,,,,,,216.8801180667,20,216.7066726986,20,,,100,1000,,2.54,0.1145843431
pipe,уз. в к18,уз. в к18,к.118,к.118,440065.86,440114.25,6554698.07,6554995.97,,,20,,,,false,false,,false,88,,348,0.168,0.016,,0.46,0.168,0.00001,,,,,,,,,,,,,,,209.6221319374,20,209.209836521,20,,,100,1000,,4.51,0.2034548769
pipe,уз.в к17,уз.в к17,к.83,к.83,443750.3,443613.12,6555182.86,6556067.31,,,20,,,,false,false,,false,71,,1574,0.168,0.016,,0.46,0.168,0.00001,,,,,,,,,,,,,,,212.2525080001,20,212.1033505134,20,,,100,1000,,1.08,0.0487209018
