,juncType,node_name_start,node_id_start,node_id_end,node_name_end,X_start,X_end,Y_start,Y_end,startKind,startValue,startT,endKind,endValue,endT,startIsSource,endIsOutlet,L,d,s,uphillM,effectiveD,intD,roughness,perforation,pumpDepth,model,frequency,productivity,predict_mode,shtr_debit,K_pump,VolumeWater,wellNum,padNum,startP,endP,start_Q_m3_day,end_Q_m3_day,res_watercut_percent,res_liquid_density_kg_m3,res_pump_power_watt,X_kg_sec,velocity_m_sec
0,pipe,к.44__скв.5999,5999,1751054627,к.44,,439199.92,,6568611.67,Q,0.6417513889,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3218.0,2695.0,ЭЦН5А-160-2500,50.0,0.3257018623,periodic,57.0,0.85,62.0,,,8.684843259563202,8.684843677316403,58.6845866537696,,62.0,944.8361684489831,,0.6417513889,0.025823687293047966
1,pipe,к.96__скв.110,110,1750048619,к.96,,434736.17,,6562005.67,Q,0.1394189815,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3205.0,2796.0,ЭЦН5-80-2200,50.0,0.07408435355,periodic,13.0,0.9,19.0,,,10.320813681800724,10.320813689006918,13.90791835847345,,19.0,866.1109226501213,,0.1394189815,0.006120069256096382
2,pipe,к.40б__скв.416,416,1750048880,к.40б,,432109.07,,6572404.64,Q,0.186724537,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3143.0,2591.0,ЭЦН5-80-2500,50.0,0.1011264953,periodic,17.0,0.95,50.0,,,13.430845464916558,13.430816897786277,17.462264124686136,,50.0,923.8779050417079,,0.186724537,0.0076841309430188956
3,pipe,к.37__скв.3703,3703,1750023893,к.37,,442111.8973,,6562785.606,Q,0.8300833333,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,2880.0,2785.0,ЭЦН5-60-2500,53.0,0.5158371154,const,72.0,1,90.0,,,9.658422561477455,9.65819320925396,71.96493661198768,,90.0,996.5853285441962,,0.8300833333,0.03166760004796957
4,pipe,к.88__скв.883,883,1750037786,к.88,,430953.64,,6565257.62,Q,0.766294213,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3012.0,2750.0,ЭЦН5-80-2700,48.5,0.5267534125,const,70.0,0.9,63.4,,,19.010821195005242,19.01060740787595,69.73703454403615,,63.4,949.3925349147505,,0.766294213,0.030687229398658374
5,pipe,к.40б,1750048880,1750025407,т.вр.к.40,432109.07,431712.5,6572404.64,6572209.58,,,20,,,20,False,False,572.0,159,8,-2.0,0.85,0.159,1e-05,,,,,,,,,,,,13.430816897786277,13.417224921658413,,,65.53879216128276,952.1964458977718,,5.814893980899999,0.3075608993789295
6,pipe,к.88__скв.1631,1631,1750037786,к.88,,430953.64,,6565257.62,Q,0.4404305556,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3345.0,2750.0,ЭЦН5-45-2500,48.0,0.240354687,periodic,38.0,,93.0,,,19.01069501104918,19.01060740787595,37.96011727134309,,93.0,1002.4521192026765,,0.4404305556,0.016704048778703046
7,pipe,к.40__скв.1756,1756,1750024074,к.40,,431752.5,,6572395.78,Q,0.7301875,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3027.0,2821.0,ЭЦН5-60-2800,50.0,0.3104074922,two,63.0,1.05,92.0,,,14.311204540028124,14.311017137127044,63.05939742474059,,92.0,1000.4567531000243,,0.7301875,0.027748788103288673
8,pipe,к.37,1750023893,1750025406,уз.вр. к37,442111.8973,442465.6733,6562785.606,6562885.375,,,20,,,20,False,False,422.0,89,8,-3.9,0.85,0.089,1e-05,,,,,,,,,,,,9.65819320925396,8.65005686179744,,,89.71950637828948,996.0687968649358,,4.465584374800001,0.7206411819672787
9,pipe,к.40__скв.580,580,1750024074,к.40,,431752.5,,6572395.78,Q,0.6956736111,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3287.0,2929.0,ЭЦН5А-60-2500,48.5,0.2743088955,const,60.0,1,93.0,,,14.311190874967963,14.311017137127044,59.96978921028049,,93.0,1002.2746584664688,,0.6956736111,0.02638923049306011
10,pipe,к.43,1750040926,1750025404,уз.вр. к43,435902.57,436574.14,6565914.81,6568618.2,,,20,,,20,False,False,2834.0,159,8,-3.6,0.85,0.159,1e-05,,,,,,,,,,,,10.691758410218593,10.533283240248073,,,67.33574477303583,955.0193902911205,,3.8252623955000002,0.2017274130311302
11,pipe,к.40б__скв.402,402,1750048880,к.40б,,432109.07,,6572404.64,Q,0.568287037,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3169.0,2827.0,ЭЦН5-125-2700,50.0,0.2546996265,periodic,50.0,0.85,37.0,,,13.4308164457645,13.430816897786277,54.54427391795793,,37.0,900.1861509909021,,0.568287037,0.024001775484827764
12,pipe,уз.вр. к43,1750025404,1750025405,уз.вр. к44,436574.14,439007.44,6568618.2,6568333.24,,,20,,,20,False,False,2652.0,219,8,2.1,0.85,0.219,1e-05,,,,,,,,,,,,10.533283240248073,8.54688594982115,,,73.10504567730214,965.5920552501128,,21.03856032978334,0.578421237486264
13,pipe,к.96,1750048619,1750040926,к.43,434736.17,435902.57,6562005.67,6565914.81,,,20,,,20,False,False,4430.0,159,8,-6.0,0.85,0.159,1e-05,,,,,,,,,,,,10.320813689006918,10.691758410218593,,,44.187694301948326,912.4093493828537,,1.4264450347,0.07873742219597982
14,pipe,к.45__скв.1508,1508,1750026636,к.45,,432637.02,,6568595.31,Q,1.393413032,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3099.0,2854.0,ЭЦН5-125-2700,49.0,0.6773851151,const,121.0,1,89.4,,,12.001711735193929,12.001198872697914,120.92231537805279,,89.4,995.6051998211304,,1.393413032,0.05321090659626511
15,pipe,к.230__скв.2304,2304,1751067763,к.230,,430953.64,,6561257.62,Q,0.7431365741,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3466.0,2865.0,ЭЦН5А-160-2650,50.0,,periodic,65.0,,65.2,,,19.86905379505022,19.868850664284032,67.38853819347206,,65.2,952.788140587085,,0.7431365741,0.02965379219096977
16,pipe,к.96__скв.104,104,1750048619,к.96,,434736.17,,6562005.67,Q,0.3322638889,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3147.0,2639.0,ЭЦН5-125-2500,50.1,0.1612023201,periodic,30.0,0.85,60.0,,,10.320813637198954,10.320813689006918,30.49216850323696,,60.0,941.4745296948128,,0.3322638889,0.013417837105340467
17,pipe,к.44__скв.6003,6003,1751054627,к.44,,439199.92,,6568611.67,Q,0.4771707176,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3497.0,2828.0,ЭЦН5-45-2700,45.0,0.4348450415,const,41.0,1,95.0,,,8.684942087834097,8.684843677316403,40.99111654265911,,95.0,1005.7679194401752,,0.4771707176,0.018037815987965538
18,pipe,т.вр.к.40,1750025407,1750025402,уз.вр. к45,431712.5,433746.97,6572209.58,6569400.21,,,20,,,20,False,False,3562.0,219,8,5.0,0.85,0.219,1e-05,,,,,,,,,,,,13.417224921658413,11.365404366612744,,,70.78894164303509,961.7625061511523,,16.4366923269,0.4536996872250217
19,pipe,к.40б__скв.400,400,1750048880,к.40б,,432109.07,,6572404.64,Q,0.2508703704,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3226.0,2717.0,ЭЦН5-125-2500,51.0,0.154097691,periodic,23.0,0.85,46.0,,,13.43081686083201,13.430816897786277,23.64769879088796,,46.0,916.5881295355463,,0.2508703704,0.010405982449513476
20,pipe,к.96__скв.98,98,1750048619,к.96,,434736.17,,6562005.67,Q,0.5049502662,20,,,20,True,False,30.0,183,10,0.0,0.85,0.183,1e-05,3156.0,2612.0,ЭЦН5-50-2500,54.0,0.4714938876,const,47.0,1,54.1,,,10.320813476219655,10.320813689006918,46.8797753900951,,54.1,930.6295227877265,,0.5049502662,0.020629073647302893
